,Name,Sync,F1X1,F1X3,F1Y1,F1Y2,F1Z1,F1Z2,F1Z3,F1Z4,F2X1,F2X3,F2Y1,F2Y2,F2Z1,F2Z2,F2Z3,F2Z4
170,0.283333,10415.0,-21.0,-13.0,-15.0,-31.0,-47.0,-42.0,-53.0,-58.0,-41.0,-57.0,-44.0,-71.0,-57.0,-49.0,-47.0,-65.0
171,0.285,10401.0,-3.0,12.0,7.0,-16.0,-24.0,-21.0,-35.0,-36.0,-6.0,-17.0,-9.0,-43.0,-21.0,-22.0,-17.0,-28.0
172,0.286667,10399.0,22.0,35.0,22.0,-5.0,-10.0,-12.0,-21.0,-24.0,11.0,3.0,10.0,-29.0,-13.0,-6.0,-2.0,-17.0
173,0.288333,10391.0,34.0,48.0,23.0,-12.0,-12.0,-9.0,-18.0,-28.0,20.0,14.0,7.0,-22.0,-8.0,-5.0,-2.0,-14.0
174,0.29,10414.0,39.0,48.0,15.0,-10.0,-10.0,-9.0,-19.0,-21.0,20.0,17.0,9.0,-24.0,-8.0,-3.0,-5.0,-18.0
175,0.291667,10404.0,8.0,15.0,-23.0,-53.0,-45.0,-41.0,-57.0,-56.0,-17.0,-23.0,-34.0,-67.0,-51.0,-51.0,-45.0,-54.0
176,0.293333,10398.0,23.0,29.0,-14.0,-37.0,-28.0,-23.0,-33.0,-34.0,6.0,-1.0,-9.0,-47.0,-21.0,-18.0,-18.0,-24.0
177,0.295,10404.0,36.0,35.0,-10.0,-31.0,-14.0,-12.0,-19.0,-27.0,20.0,0.0,-4.0,-33.0,-10.0,-5.0,-3.0,-15.0
178,0.296667,10400.0,33.0,27.0,-15.0,-30.0,-13.0,-8.0,-16.0,-26.0,18.0,0.0,-4.0,-36.0,-10.0,-5.0,-10.0,-15.0
179,0.298333,10389.0,32.0,26.0,-22.0,-30.0,-10.0,-9.0,-15.0,-20.0,20.0,0.0,-7.0,-35.0,-16.0,-5.0,-2.0,-13.0
180,0.3,10401.0,-1.0,-9.0,-54.0,-64.0,-47.0,-43.0,-51.0,-57.0,-22.0,-42.0,-58.0,-83.0,-53.0,-47.0,-44.0,-57.0
181,0.301667,10397.0,11.0,0.0,-42.0,-47.0,-27.0,-21.0,-31.0,-36.0,-1.0,-22.0,-27.0,-53.0,-24.0,-18.0,-12.0,-35.0
182,0.303333,10399.0,20.0,10.0,-24.0,-31.0,-14.0,-9.0,-17.0,-28.0,11.0,-5.0,-14.0,-40.0,-10.0,-9.0,-4.0,-15.0
183,0.305,10400.0,23.0,12.0,-22.0,-27.0,-10.0,-9.0,-18.0,-22.0,11.0,-8.0,-8.0,-41.0,-8.0,-3.0,-1.0,-13.0
184,0.306667,10388.0,18.0,9.0,-21.0,-28.0,-12.0,-8.0,-16.0,-22.0,10.0,-14.0,-14.0,-38.0,-8.0,-5.0,-1.0,-10.0
185,0.308333,10409.0,-14.0,-29.0,-56.0,-57.0,-45.0,-42.0,-50.0,-58.0,-41.0,-60.0,-56.0,-84.0,-56.0,-45.0,-48.0,-58.0
186,0.31,10395.0,-2.0,-19.0,-38.0,-36.0,-26.0,-20.0,-32.0,-37.0,-10.0,-35.0,-31.0,-56.0,-27.0,-21.0,-17.0,-27.0
187,0.311667,10409.0,7.0,-13.0,-24.0,-22.0,-18.0,-8.0,-15.0,-27.0,0.0,-21.0,-19.0,-48.0,-15.0,-5.0,-2.0,-20.0
188,0.313333,10400.0,3.0,-10.0,-26.0,-19.0,-10.0,-7.0,-16.0,-21.0,3.0,-32.0,-22.0,-44.0,-10.0,-3.0,0.0,-18.0
189,0.315,10385.0,1.0,-18.0,-22.0,-16.0,-12.0,-6.0,-14.0,-23.0,-3.0,-28.0,-21.0,-44.0,-8.0,-2.0,-2.0,-15.0
190,0.316667,10414.0,-33.0,-55.0,-57.0,-48.0,-45.0,-41.0,-51.0,-61.0,-43.0,-75.0,-65.0,-85.0,-60.0,-50.0,-41.0,-57.0
191,0.318333,10403.0,-20.0,-45.0,-37.0,-30.0,-29.0,-21.0,-28.0,-38.0,-18.0,-49.0,-44.0,-62.0,-27.0,-18.0,-19.0,-26.0
192,0.32,10409.0,-7.0,-32.0,-28.0,-16.0,-15.0,-8.0,-17.0,-24.0,-9.0,-42.0,-28.0,-48.0,-15.0,-5.0,-2.0,-20.0
193,0.321667,10397.0,-9.0,-27.0,-24.0,-16.0,-13.0,-6.0,-19.0,-24.0,-6.0,-37.0,-26.0,-46.0,-9.0,-8.0,-4.0,-15.0
194,0.323333,10411.0,-6.0,-27.0,-23.0,-16.0,-12.0,-6.0,-17.0,-26.0,-3.0,-35.0,-24.0,-50.0,-14.0,-3.0,0.0,-16.0
195,0.325,10404.0,-36.0,-60.0,-56.0,-55.0,-47.0,-41.0,-51.0,-59.0,-42.0,-72.0,-74.0,-90.0,-57.0,-49.0,-41.0,-56.0
196,0.326667,10404.0,-20.0,-46.0,-43.0,-33.0,-29.0,-20.0,-26.0,-36.0,-23.0,-48.0,-42.0,-61.0,-24.0,-19.0,-14.0,-30.0
197,0.328333,10405.0,-8.0,-31.0,-30.0,-20.0,-15.0,-7.0,-21.0,-24.0,-2.0,-34.0,-31.0,-48.0,-14.0,-9.0,-1.0,-16.0
198,0.33,10404.0,-7.0,-28.0,-28.0,-17.0,-16.0,-7.0,-18.0,-23.0,-1.0,-35.0,-28.0,-54.0,-12.0,-4.0,-2.0,-14.0
199,0.331667,10404.0,-8.0,-31.0,-32.0,-19.0,-14.0,-4.0,-10.0,-27.0,1.0,-40.0,-29.0,-48.0,-13.0,-5.0,-1.0,-13.0
200,0.333333,10394.0,-37.0,-64.0,-63.0,-55.0,-49.0,-41.0,-46.0,-61.0,-43.0,-79.0,-72.0,-92.0,-55.0,-50.0,-50.0,-58.0
201,0.335,10398.0,-27.0,-50.0,-48.0,-34.0,-30.0,-24.0,-28.0,-36.0,-18.0,-49.0,-44.0,-61.0,-33.0,-19.0,-14.0,-28.0
202,0.336667,10409.0,-10.0,-34.0,-32.0,-22.0,-17.0,-10.0,-17.0,-26.0,-1.0,-35.0,-41.0,-53.0,-14.0,-6.0,-4.0,-18.0
203,0.338333,10402.0,-9.0,-34.0,-37.0,-21.0,-14.0,-7.0,-16.0,-23.0,-3.0,-37.0,-35.0,-50.0,-12.0,-4.0,1.0,-22.0
204,0.34,10404.0,-13.0,-36.0,-35.0,-22.0,-14.0,-5.0,-17.0,-27.0,0.0,-35.0,-35.0,-53.0,-9.0,-7.0,-2.0,-14.0
205,0.341667,10410.0,-42.0,-71.0,-70.0,-57.0,-48.0,-47.0,-50.0,-59.0,-42.0,-81.0,-77.0,-100.0,-57.0,-50.0,-43.0,-60.0
206,0.343333,10415.0,-28.0,-54.0,-54.0,-43.0,-30.0,-24.0,-28.0,-37.0,-13.0,-53.0,-56.0,-70.0,-28.0,-19.0,-13.0,-26.0
207,0.345,10406.0,-10.0,-43.0,-42.0,-31.0,-15.0,-9.0,-18.0,-29.0,-6.0,-41.0,-38.0,-56.0,-15.0,-4.0,-5.0,-17.0
208,0.346667,10399.0,-9.0,-36.0,-41.0,-30.0,-13.0,-6.0,-17.0,-22.0,0.0,-35.0,-36.0,-54.0,-10.0,-6.0,-1.0,-14.0
209,0.348333,10360.0,-8.0,-37.0,-41.0,-26.0,-16.0,-4.0,-12.0,-23.0,1.0,-34.0,-35.0,-60.0,-12.0,-4.0,0.0,-13.0
